percentage_votos_centrao,ibge,municipio,pib_per_capita,uf,taxa_analfabetismo,Year
0.1967179487179487,1508084,TUCUMA,4101.15,PA,16.0,2002
0.2198899232976169,1508100,TUCURUI,14509.96,PA,10.6,2002
0.1986942328618063,1508126,ULIANOPOLIS,14478.92,PA,23.3,2002
0.5095130040146623,1508159,URUARA,2784.12,PA,22.7,2002
0.276791664142485,1508209,VIGIA,1657.37,PA,12.7,2002
0.4553978712620375,1508357,VITORIA DO XINGU,4189.24,PA,26.1,2002
0.2504247617640541,1508407,XINGUARA,5251.62,PA,17.0,2002
0.2443502824858757,1600055,SERRA DO NAVIO,3860.31,AP,10.7,2002
0.2883076923076923,1600105,AMAPA,3827.5,AP,17.5,2002
0.248380829015544,1600204,CALCOENE,3742.61,AP,15.5,2002
0.3970406905055487,1600212,CUTIAS,3531.76,AP,20.4,2002
0.378018728437654,1600238,FERREIRA GOMES,5361.86,AP,17.0,2002
0.3516339869281046,1600253,ITAUBAL,3769.17,AP,16.5,2002
0.1755957016041115,1600279,LARANJAL DO JARI,4022.44,AP,16.7,2002
0.30344395928647,1600303,MACAPA,6864.1,AP,8.5,2002
0.3113175675675675,1600402,MAZAGAO,4529.86,AP,28.2,2002
0.3852376137512639,1600501,OIAPOQUE,4649.94,AP,15.0,2002
0.3838790931989924,1600535,PORTO GRANDE,4089.28,AP,20.2,2002
0.5588235294117647,1600550,PRACUUBA,4192.26,AP,18.7,2002
0.1584799763683166,1600600,SANTANA,5470.32,AP,14.0,2002
0.1584799763683166,1600600,SANTANA,5470.32,AP,30.8,2002
0.2814814814814815,1600709,TARTARUGALZINHO,3513.04,AP,19.4,2002
0.1482399603371343,1600808,VITORIA DO JARI,3713.69,AP,16.0,2002
0.0749506903353057,1700251,ABREULANDIA,2753.97,TO,21.7,2002
0.7033352837916911,1700301,AGUIARNOPOLIS,3576.33,TO,23.6,2002
0.0654582074521651,1700350,ALIANCA DO TOCANTINS,3381.23,TO,16.5,2002
0.4851451721809588,1700400,ALMAS,2478.94,TO,22.7,2002
0.7754765827253471,1701002,ANANAS,2484.02,TO,23.3,2002
0.5957304869913276,1701051,ANGICO,2349.36,TO,20.4,2002
0.4913329348475792,1701101,APARECIDA DO RIO NEGRO,2860.96,TO,19.5,2002
0.7472443937666287,1701309,ARAGOMINAS,1956.23,TO,30.2,2002
0.5430318916557448,1701903,ARAGUACEMA,2516.07,TO,21.7,2002
0.3784961027051811,1702000,ARAGUACU,4045.37,TO,19.6,2002
0.6120223235206408,1702109,ARAGUAINA,5457.63,TO,12.2,2002
0.3036671219922244,1702208,ARAGUATINS,2251.35,TO,23.4,2002
0.1920869827846572,1702307,ARAPOEMA,3851.34,TO,23.3,2002
